text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,3,,,,,right,1,0.184857130051,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
rojo,left,red,0,1,1,9,,,,,right,0,0.666343212128,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
verde,down,green,0,2,2,4,,,,,right,0,0.0514388084412,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
rojo,left,red,0,3,3,10,,,,,right,0,0.184606075287,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
rojo,left,red,0,4,4,8,,,,,right,0,0.101459980011,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
verde,down,green,0,5,5,6,,,,,right,0,0.101211071014,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
azul,right,blue,0,6,6,2,,,,,right,1,0.582687139511,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
rojo,right,blue,0,7,7,0,,,,,right,1,0.0676960945129,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
rojo,left,red,0,8,8,11,,,,,right,0,0.00138092041016,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
verde,down,green,0,9,9,7,,,,,right,0,0.134392976761,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
azul,right,blue,0,10,10,1,,,,,right,1,0.151369094849,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
verde,down,green,0,11,11,5,,,,,right,0,0.0844330787659,2018_Sep_05_1241,60.1182210654,emo_stroop,01,,
