text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,4,,,,,right,0,1.36549401283,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
azul,right,blue,0,1,1,1,,,,,right,1,1.64701390266,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
verde,down,green,0,2,2,7,,,,,right,0,0.632961988449,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
azul,right,blue,0,3,3,2,,,,,right,1,0.53341293335,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
verde,down,green,0,4,4,6,,,,,right,0,0.617213010788,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
rojo,left,red,0,5,5,10,,,,,right,0,0.732739925385,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
rojo,right,blue,0,6,6,0,,,,,right,1,1.2980890274,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
rojo,left,red,0,7,7,9,,,,,right,0,1.89720582962,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
azul,right,blue,0,8,8,3,,,,,right,1,0.167642116547,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
verde,down,green,0,9,9,5,,,,,right,0,0.0844581127167,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
rojo,left,red,0,10,10,8,,,,,right,0,0.616519927979,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
rojo,left,red,0,11,11,11,,,,,right,0,0.699707984924,2018_Sep_05_1250,60.1146021745,emo_stroop,01,l,
