text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,5,right,0,0.767298936844,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
azul,right,blue,0,1,1,6,right,1,0.0013279914856,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
verde,down,green,0,2,2,3,left,0,0.284051895142,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
rojo,left,red,0,3,3,10,down,0,0.201550960541,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
rojo,left,red,0,4,4,11,left,1,0.41824221611,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
azul,right,blue,0,5,5,7,down,0,0.818677902222,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
azul,right,blue,0,6,6,1,down,0,0.751405954361,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
verde,down,green,0,7,7,2,down,1,0.917403936386,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
rojo,left,red,0,8,8,4,left,1,0.584527015686,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
azul,right,blue,0,9,9,0,right,1,0.801470041275,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
verde,down,green,0,10,10,8,down,1,0.568502902985,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
verde,down,green,0,11,11,9,down,1,0.669358968735,2018_Sep_26_1150,59.9290733528,emo_stroop,01,,
