text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,8,,,,,down,1,0.967863082886,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
verde,down,green,0,1,1,2,,,,,down,1,0.56905579567,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
verde,down,green,0,2,2,9,,,,,down,1,0.384757995605,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
azul,right,blue,0,3,3,6,,,,,left,0,0.484714031219,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
azul,right,blue,0,4,4,0,,,,,left,0,0.468064069748,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
azul,right,blue,0,5,5,7,,,,,right,1,0.400779008865,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
rojo,left,red,0,6,6,4,,,,,left,1,0.534995079041,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
rojo,left,red,0,7,7,11,,,,,left,1,0.350965023041,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
azul,right,blue,0,8,8,1,,,,,right,1,0.634890079498,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
rojo,left,red,0,9,9,5,,,,,left,1,0.600960969925,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
rojo,left,red,0,10,10,10,,,,,left,1,0.500996828079,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
verde,down,green,0,11,11,3,,,,,right,0,3.80163288116,2018_Sep_26_1154,59.7503885488,emo_stroop,01,,
