text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,6,,,,,right,1,0.999969005585,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
rojo,left,red,0,1,1,11,,,,,left,1,0.0522749423981,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
azul,right,blue,0,2,2,0,,,,,right,1,0.284903049469,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
verde,down,green,0,3,3,3,,,,,left,0,0.0675711631775,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
rojo,left,red,0,4,4,5,,,,,right,0,0.0674660205841,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
rojo,left,red,0,5,5,10,,,,,right,0,0.0180749893188,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
verde,down,green,0,6,6,9,,,,,right,0,0.118630170822,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
azul,right,blue,0,7,7,1,,,,,right,1,0.101903915405,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
azul,right,blue,0,8,8,7,,,,,right,1,0.202030897141,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
verde,down,green,0,9,9,8,,,,,right,0,0.235189914703,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
verde,down,green,0,10,10,2,,,,,right,0,0.0514869689941,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
rojo,left,red,0,11,11,4,,,,,right,0,0.0846037864685,2018_Sep_26_1530,60.2784045345,emo_stroop,01,,
