text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,8,,,,,,,,,left,1,0.00155711174011,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
verde,down,green,,0,1,1,5,,,,,,,,,left,0,0.084235906601,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
azul,right,blue,,0,2,2,3,,,,,,,,,left,0,0.184008836746,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
rojo,left,red,,0,3,3,11,,,,,,,,,right,0,1.21485805511,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
rojo,right,blue,,0,4,4,0,,,,,,,,,right,1,0.0342888832092,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
azul,right,blue,,0,5,5,2,,,,,,,,,right,1,0.350266933441,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
azul,right,blue,,0,6,6,1,,,,,,,,,right,1,0.500492095947,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
rojo,left,red,,0,7,7,9,,,,,,,,,right,0,0.633445978165,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
verde,down,green,,0,8,8,4,,,,,,,,,right,0,0.50035905838,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
rojo,left,red,,0,9,9,10,,,,,,,,,right,0,0.185010910034,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
verde,down,green,,0,10,10,7,,,,,,,,,right,0,0.150689840317,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
verde,down,green,,0,11,11,6,,,,,,,,,right,0,0.117476940155,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,0,0,0,down,0,0.00129318237305,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,1,1,6,right,0,0.167830944061,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,2,2,2,down,1,0.0182619094849,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,3,3,5,right,0,0.101282119751,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,4,4,7,down,0,0.433771133423,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,5,5,4,down,1,0.117588996887,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,6,6,3,right,0,0.0350201129913,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,7,7,1,right,1,0.0845291614532,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_1350,60.1175317192,emo_stroop,01,,
