text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,0,,,,,right,1,0.469188213348,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
rojo,left,red,0,1,1,10,,,,,left,1,0.634785890579,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
azul,right,blue,0,2,2,1,,,,,right,1,1.50061011314,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
verde,down,green,0,3,3,7,,,,,down,1,0.668548107147,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
verde,down,green,0,4,4,4,,,,,down,1,0.633595943451,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
rojo,left,red,0,5,5,8,,,,,left,1,0.600934028625,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
verde,down,green,0,6,6,5,,,,,left,0,1.6685590744,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
azul,right,blue,0,7,7,2,,,,,right,1,0.96808719635,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
rojo,left,red,0,8,8,9,,,,,left,1,0.60119509697,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
rojo,left,red,0,9,9,11,,,,,left,1,0.434592008591,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
azul,right,blue,0,10,10,3,,,,,right,1,0.735935926437,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
verde,down,green,0,11,11,6,,,,,right,0,0.718083143234,2018_Sep_26_1119,60.1225298369,emo_stroop,01,,
