text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,10,,,,,left,1,0.136157989502,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
verde,down,green,0,1,1,4,,,,,down,1,0.184540987015,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
azul,right,blue,0,2,2,3,,,,,down,0,0.0349688529968,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
verde,down,green,0,3,3,6,,,,,down,1,0.00163197517395,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
rojo,right,blue,0,4,4,0,,,,,down,0,0.0516338348389,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
rojo,left,red,0,5,5,8,,,,,right,0,0.0524210929871,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
verde,down,green,0,6,6,7,,,,,right,0,0.13509106636,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
azul,right,blue,0,7,7,2,,,,,left,0,0.13543510437,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
verde,down,green,0,8,8,5,,,,,right,0,0.00236797332764,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
rojo,left,red,0,9,9,11,,,,,down,0,0.10223698616,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
rojo,left,red,0,10,10,9,,,,,right,0,0.0521991252899,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
azul,right,blue,0,11,11,1,,,,,right,1,0.0524368286133,2018_Sep_05_1247,60.1424443823,emo_stroop,01,,
