text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,6,,,,,left,0,0.851253986359,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
azul,right,blue,0,1,1,3,,,,,down,0,1.03436517715,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
azul,right,blue,0,2,2,0,,,,,right,1,1.15214109421,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
rojo,left,red,0,3,3,10,,,,,left,1,0.500384807587,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
rojo,left,red,0,4,4,9,,,,,left,1,0.485728979111,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
azul,right,blue,0,5,5,1,,,,,right,1,0.784137010574,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
verde,down,green,0,6,6,5,,,,,down,1,0.335205078125,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
verde,down,green,0,7,7,7,,,,,down,1,0.568766117096,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
rojo,left,red,0,8,8,8,,,,,left,1,0.553021907806,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
verde,down,green,0,9,9,4,,,,,down,1,0.618587970734,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
rojo,left,red,0,10,10,11,,,,,left,1,1.08560609818,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
azul,right,blue,0,11,11,2,,,,,right,1,0.785320043564,2018_Sep_26_1119,60.4040180018,emo_stroop,01,,
