text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,0,0,0,3,,,,,right,0,0.534424066544,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
azul,right,blue,0,1,1,0,,,,,right,1,0.134822130203,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
rojo,left,red,0,2,2,11,,,,,right,0,0.11811208725,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
rojo,left,red,0,3,3,10,,,,,right,0,0.052619934082,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
verde,down,green,0,4,4,8,,,,,right,0,2.30191493034,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
azul,right,blue,0,5,5,6,,,,,right,1,0.102324008942,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
verde,down,green,0,6,6,9,,,,,right,0,0.367959022522,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
azul,right,blue,0,7,7,7,,,,,right,1,1.03500103951,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
rojo,left,red,0,8,8,4,,,,,right,0,0.0343148708344,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
verde,down,green,0,9,9,2,,,,,right,0,0.102408885956,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
rojo,left,red,0,10,10,5,,,,,right,0,0.0690331459045,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
azul,right,blue,0,11,11,1,,,,,right,1,0.168440103531,2018_Sep_26_1534,59.8766293928,emo_stroop,01,,
