text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,0,0,0,3,,,,,,,,,left,0,0.217735052109,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
rojo,left,red,,0,1,1,9,,,,,,,,,left,1,0.417235136032,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
verde,down,green,,0,2,2,7,,,,,,,,,down,1,0.367256164551,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
azul,right,blue,,0,3,3,2,,,,,,,,,right,1,0.583674907684,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
rojo,left,red,,0,4,4,10,,,,,,,,,left,1,0.417278051376,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
rojo,left,red,,0,5,5,11,,,,,,,,,left,1,0.450483083725,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
verde,down,green,,0,6,6,4,,,,,,,,,down,1,0.400835037231,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
verde,down,green,,0,7,7,6,,,,,,,,,left,0,0.517325878143,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
rojo,right,blue,,0,8,8,0,,,,,,,,,down,0,3.40967988968,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
verde,down,green,,0,9,9,5,,,,,,,,,down,1,0.650100946426,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
azul,right,blue,,0,10,10,1,,,,,,,,,down,0,0.48374414444,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
rojo,left,red,,0,11,11,8,,,,,,,,,left,1,0.0678560733795,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,0,0,0,right,1,0.250661849976,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,1,1,4,right,0,0.150749206543,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,2,2,1,right,1,0.101118087769,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,3,3,5,right,0,0.35050201416,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,4,4,3,right,0,1.18188381195,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,5,5,2,right,0,0.782777070999,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,6,6,7,right,0,0.932734012604,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,7,7,6,right,0,7.13442587852,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_0939,60.219554287,emo_stroop,01,,
