text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,5,,,,,right,0,0.301331996918,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
azul,right,blue,0,1,1,7,,,,,right,1,0.100966930389,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
verde,down,green,0,2,2,9,,,,,right,0,0.0678188800812,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
verde,down,green,0,3,3,2,,,,,right,0,0.0842888355255,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
azul,right,blue,0,4,4,0,,,,,right,1,0.067941904068,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
rojo,left,red,0,5,5,11,,,,,right,0,0.268273115158,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
verde,down,green,0,6,6,3,,,,,right,0,0.218095064163,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
rojo,left,red,0,7,7,10,,,,,down,0,0.0844509601593,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
azul,right,blue,0,8,8,1,,,,,down,0,0.0187351703644,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
azul,right,blue,0,9,9,6,,,,,down,0,0.167047977448,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
verde,down,green,0,10,10,8,,,,,right,0,0.152231931686,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
rojo,left,red,0,11,11,4,,,,,left,1,0.00144100189209,2018_Sep_26_1523,60.0146520147,emo_stroop,01,,
