text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,4,,,,,right,0,0.21839094162,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
rojo,left,red,0,1,1,5,,,,,right,0,0.185206890106,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
azul,right,blue,0,2,2,6,,,,,right,1,0.18443107605,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
verde,down,green,0,3,3,8,,,,,right,0,0.068274974823,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
azul,right,blue,0,4,4,0,,,,,right,1,0.0853140354156,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
rojo,left,red,0,5,5,10,,,,,right,0,0.069149017334,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
azul,right,blue,0,6,6,1,,,,,right,1,0.135012149811,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
verde,down,green,0,7,7,2,,,,,right,0,0.0351519584656,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
verde,down,green,0,8,8,9,,,,,right,0,0.0681371688843,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
azul,right,blue,0,9,9,7,,,,,right,1,0.135443925858,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
verde,down,green,0,10,10,3,,,,,right,0,0.118206977844,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
rojo,left,red,0,11,11,11,,,,,right,0,0.00198817253113,2018_Sep_26_1532,60.2116010187,emo_stroop,01,,
